Nazwa zmiennej	wartość	Etykieta	etykieta	usemissing
WAVE	195	Listopad 2010	Listopad 2010	0,0
WAVE	196	Grudzień 2010	Grudzień 2010	0,0
WAVE	197	Styczeń 2011	Styczeń 2011	0,0
WAVE	198	Luty 2011	Luty 2011	0,0
WAVE	199	Marzec 2011	Marzec 2011	0,0
WAVE	200	Kwiecień 2011	Kwiecień 2011	0,0
WAVE	201	Maj 2011	Maj 2011	0,0
WAVE	202	Czerwiec 2011	Czerwiec 2011	0,0
WAVE	203	Lipiec 2011	Lipiec 2011	0,0
WAVE	204	Sierpień 2011	Sierpień 2011	0,0
WAVE	205	Wrzesień 2011	Wrzesień 2011	0,0
WAVE	206	Październik 2011	Październik 2011	0,0
WAVE	207	Listopad 2011	Listopad 2011	0,0
WAVE	208	Grudzień 2011	Grudzień 2011	0,0
WAVE	209	Styczeń 2012	Styczeń 2012	0,0
WAVE	210	Luty 2012	Luty 2012	0,0
WAVE	211	Marzec 2012	Marzec 2012	0,0
WAVE	212	Kwiecień 2012	Kwiecień 2012	0,0
WAVE	213	Maj 2012	Maj 2012	0,0
WAVE	214	Czerwiec 2012	Czerwiec 2012	0,0
WAVE	215	Lipiec 2012	Lipiec 2012	0,0
WAVE	216	Sierpień 2012	Sierpień 2012	0,0
WAVE	217	Wrzesień 2012	Wrzesień 2012	0,0
WAVE	218	Październik 2012	Październik 2012	0,0
WAVE	219	Listopad 2012	Listopad 2012	0,0
WAVE	220	Grudzień 2012	Grudzień 2012	0,0
WAVE	221	Styczeń 2013	Styczeń 2013	0,0
WAVE	222	Luty 2013	Luty 2013	0,0
WAVE	223	Marzec 2013	Marzec 2013	0,0
WAVE	224	Kwiecień 2013	Kwiecień 2013	0,0
WAVE	225	Maj 2013	Maj 2013	0,0
WAVE	226	Czerwiec 2013	Czerwiec 2013	0,0
WAVE	227	Lipiec 2013	Lipiec 2013	0,0
WAVE	228	Sierpień 2013	Sierpień 2013	0,0
WAVE	229	Wrzesień 2013	Wrzesień 2013	0,0
WAVE	230	Październik 2013	Październik 2013	0,0
WAVE	231	Listopad 2013	Listopad 2013	0,0
WAVE	232	Grudzień 2013	Grudzień 2013	0,0
WAVE	233	Styczeń 2014	Styczeń 2014	0,0
WAVE	234	Luty 2014	Luty 2014	0,0
WAVE	235	Marzec 2014	Marzec 2014	0,0
WAVE	236	Kwiecień 2014	Kwiecień 2014	0,0
WAVE	237	Maj 2014	Maj 2014	0,0
WAVE	238	Czerwiec 2014	Czerwiec 2014	0,0
WAVE	239	Lipiec 2014	Lipiec 2014	0,0
WAVE	240	Sierpień 2014	Sierpień 2014	0,0
WAVE	241	Wrzesień 2014	Wrzesień 2014	0,0
WAVE	242	Październik 2014	Październik 2014	0,0
WAVE	243	Listopad 2014	Listopad 2014	0,0
WAVE	244	Grudzień 2014	Grudzień 2014	0,0
WAVE	245	Styczeń 2015	Styczeń 2015	0,0
WAVE	246	Luty 2015	Luty 2015	0,0
WAVE	247	Marzec 2015	Marzec 2015	0,0
WAVE	248	Kwiecień 2015	Kwiecień 2015	0,0
WAVE	249	Maj 2015	Maj 2015	0,0
WAVE	250	Czerwiec 2015	Czerwiec 2015	0,0
WAVE	251	Lipiec 2015	Lipiec 2015	0,0
WAVE	252	Sierpień 2015	Sierpień 2015	0,0
WAVE	253	Wrzesień 2015	Wrzesień 2015	0,0
WAVE	254	Październik 2015	Październik 2015	0,0
WAVE	255	Listopad 2015	Listopad 2015	0,0
WAVE	256	Grudzień 2015	Grudzień 2015	0,0
WAVE	257	Styczeń 2016	Styczeń 2016	0,0
WAVE	258	Luty 2016	Luty 2016	0,0
WAVE	259	Marzec 2016	Marzec 2016	0,0
WAVE	260	Kwiecień 2016	Kwiecień 2016	0,0
WAVE	261	Maj 2016	Maj 2016	0,0
WAVE	262	Czerwiec 2016	Czerwiec 2016	0,0
WAVE	263	Lipiec 2016	Lipiec 2016	0,0
WAVE	264	Sierpień 2016	Sierpień 2016	0,0
WAVE	265	Wrzesień 2016	Wrzesień 2016	0,0
WAVE	266	Październik 2016	Październik 2016	0,0
WAVE	267	Listopad 2016	Listopad 2016	0,0
WAVE	268	Grudzień 2016	Grudzień 2016	0,0
WAVE	269	Styczeń 2017	Styczeń 2017	0,0
WAVE	270	Luty 2017	Luty 2017	0,0
WAVE	271	Marzec 2017	Marzec 2017	0,0
WAVE	272	Kwiecień 2017	Kwiecień 2017	0,0
WAVE	273	Maj 2017	Maj 2017	0,0
WAVE	274	Czerwiec 2017	Czerwiec 2017	0,0
WAVE	275	Lipiec 2017	Lipiec 2017	0,0
WAVE	276	Sierpień 2017	Sierpień 2017	0,0
WAVE	277	Wrzesień 2017	Wrzesień 2017	0,0
WAVE	278	Październik 2017	Październik 2017	0,0
WAVE	279	Listopad 2017	Listopad 2017	0,0
WAVE	280	Grudzień 2017	Grudzień 2017	0,0
WAVE	281	Styczeń 2018	Styczeń 2018	0,0
WAVE	282	Luty 2018	Luty 2018	0,0
WAVE	283	Marzec 2018	Marzec 2018	0,0
WAVE	284	Kwiecień 2018	Kwiecień 2018	0,0
WAVE	285	Maj 2018	Maj 2018	0,0
WAVE	286	Czerwiec 2018	Czerwiec 2018	0,0
WAVE	287	Lipiec 2018	Lipiec 2018	0,0
WAVE	288	Sierpień 2018	Sierpień 2018	0,0
WAVE	289	Wrzesień 2018	Wrzesień 2018	0,0
WAVE	290	Październik 2018	Październik 2018	0,0
WAVE	291	Listopad 2018	Listopad 2018	0,0
WAVE	292	Grudzień 2018	Grudzień 2018	0,0
WAVE	293	Styczeń 2019	Styczeń 2019	0,0
WAVE	294	Luty 2019	Luty 2019	0,0
WAVE	295	Marzec 2019	Marzec 2019	0,0
WAVE	296	Kwiecień 2019	Kwiecień 2019	0,0
WAVE	297	Maj 2019	Maj 2019	0,0
WAVE	298	Czerwiec 2019	Czerwiec 2019	0,0
WAVE	299	Lipiec 2019	Lipiec 2019	0,0
WAVE	300	Sierpień 2019	Sierpień 2019	0,0
WAVE	301	Wrzesień 2019	Wrzesień 2019	0,0
WAVE	302	Październik 2019	Październik 2019	0,0
WAVE	303	Listopad 2019	Listopad 2019	0,0
WAVE	304	Grudzień 2019	Grudzień 2019	0,0
WAVE	305	Styczeń 2020	Styczeń 2020	0,0
WAVE	306	Luty 2020	Luty 2020	0,0
WAVE	307	Marzec 2020	Marzec 2020	0,0
WAVE	308	Kwiecień 2020	Kwiecień 2020	0,0
WAVE	309	Maj 2020	Maj 2020	0,0
WAVE	310	Czerwiec 2020	Czerwiec 2020	0,0
WAVE	311	Lipiec 2020	Lipiec 2020	0,0
WAVE	312	Sierpień 2020	Sierpień 2020	0,0
WAVE	313	Wrzesień 2020	Wrzesień 2020	0,0
WAVE	314	Październik 2020	Październik 2020	0,0
WAVE	315	Listopad 2020	Listopad 2020	0,0
WAVE	316	Grudzień 2020	Grudzień 2020	0,0
WAVE	317	Styczeń 2021	Styczeń 2021	0,0
WAVE	318	Luty 2021	Luty 2021	0,0
WAVE	319	Marzec 2021	Marzec 2021	0,0
WAVE	320	Kwiecień 2021	Kwiecień 2021	0,0
WAVE	321	Maj 2021	Maj 2021	0,0
WAVE	322	Czerwiec 2021	Czerwiec 2021	0,0
WAVE	323	Lipiec 2021	Lipiec 2021	0,0
WAVE	324	Sierpień 2021	Sierpień 2021	0,0
WAVE	325	Wrzesień 2021	Wrzesień 2021	0,0
WAVE	326	Październik 2021	Październik 2021	0,0
WAVE	327	Listopad 2021	Listopad 2021	0,0
WAVE	328	Grudzień 2021	Grudzień 2021	0,0
WAVE	329	Styczeń 2022	Styczeń 2022	0,0
WAVE	330	Luty 2022	Luty 2022	0,0
WAVE	331	Marzec 2022	Marzec 2022	0,0
WAVE	332	Kwiecień 2022	Kwiecień 2022	0,0
WAVE	333	Maj 2022	Maj 2022	0,0
WAVE	334	Czerwiec 2022	Czerwiec 2022	0,0
WAVE	335	Lipiec 2022	Lipiec 2022	0,0
WOJ49A	1	Bialskopodlaski	Bialskopodlaski	0,0
WOJ49A	2	Białostocki	Białostocki	0,0
WOJ49A	3	Bielski	Bielski	0,0
WOJ49A	4	Bydgoski	Bydgoski	0,0
WOJ49A	5	Chełmski	Chełmski	0,0
WOJ49A	6	Ciechanowski	Ciechanowski	0,0
WOJ49A	7	Częstochowski	Częstochowski	0,0
WOJ49A	8	Elbląski	Elbląski	0,0
WOJ49A	9	Gdański	Gdański	0,0
WOJ49A	10	Gorzowski	Gorzowski	0,0
WOJ49A	11	Jeleniogórski	Jeleniogórski	0,0
WOJ49A	12	Kaliski	Kaliski	0,0
WOJ49A	13	Katowicki	Katowicki	0,0
WOJ49A	14	Kielecki	Kielecki	0,0
WOJ49A	15	Koniński	Koniński	0,0
WOJ49A	16	Koszaliński	Koszaliński	0,0
WOJ49A	17	Krakowski	Krakowski	0,0
WOJ49A	18	Krośnieński	Krośnieński	0,0
WOJ49A	19	Legnicki	Legnicki	0,0
WOJ49A	20	Leszczyński	Leszczyński	0,0
WOJ49A	21	Lubelski	Lubelski	0,0
WOJ49A	22	Łomżyński	Łomżyński	0,0
WOJ49A	23	Łódzki	Łódzki	0,0
WOJ49A	24	Nowosądecki	Nowosądecki	0,0
WOJ49A	25	Olsztyński	Olsztyński	0,0
WOJ49A	26	Opolski	Opolski	0,0
WOJ49A	27	Ostrołęcki	Ostrołęcki	0,0
WOJ49A	28	Pilski	Pilski	0,0
WOJ49A	29	Piotrkowski	Piotrkowski	0,0
WOJ49A	30	Płocki	Płocki	0,0
WOJ49A	31	Poznański	Poznański	0,0
WOJ49A	32	Przemyski	Przemyski	0,0
WOJ49A	33	Radomski	Radomski	0,0
WOJ49A	34	Rzeszowski	Rzeszowski	0,0
WOJ49A	35	Siedlecki	Siedlecki	0,0
WOJ49A	36	Sieradzki	Sieradzki	0,0
WOJ49A	37	Skierniewicki	Skierniewicki	0,0
WOJ49A	38	Słupski	Słupski	0,0
WOJ49A	39	Suwalski	Suwalski	0,0
WOJ49A	40	Szczeciński	Szczeciński	0,0
WOJ49A	41	Tarnobrzeski	Tarnobrzeski	0,0
WOJ49A	42	Tarnowski	Tarnowski	0,0
WOJ49A	43	Toruński	Toruński	0,0
WOJ49A	44	Wałbrzyski	Wałbrzyski	0,0
WOJ49A	45	Warszawski	Warszawski	0,0
WOJ49A	46	Włocławski	Włocławski	0,0
WOJ49A	47	Wrocławski	Wrocławski	0,0
WOJ49A	48	Zamojski	Zamojski	0,0
WOJ49A	49	Zielonogórski	Zielonogórski	0,0
M16	1	Warszawskie	Warszawskie	0,0
M16	2	Bialskopodlaskie	Bialskopodlaskie	0,0
M16	3	Białostockie	Białostockie	0,0
M16	4	Bielskie	Bielskie	0,0
M16	5	Bydgoskie	Bydgoskie	0,0
M16	6	Chełmskie	Chełmskie	0,0
M16	7	Ciechanowskie	Ciechanowskie	0,0
M16	8	Częstochowskie	Częstochowskie	0,0
M16	9	Elbląskie	Elbląskie	0,0
M16	10	Gdańskie	Gdańskie	0,0
M16	11	Gorzowskie	Gorzowskie	0,0
M16	12	Jeleniogórskie	Jeleniogórskie	0,0
M16	13	Kaliskie	Kaliskie	0,0
M16	14	Katowickie	Katowickie	0,0
M16	15	Kieleckie	Kieleckie	0,0
M16	16	Konińskie	Konińskie	0,0
M16	17	Koszalińskie	Koszalińskie	0,0
M16	18	Krakowskie	Krakowskie	0,0
M16	19	Krośnieńskie	Krośnieńskie	0,0
M16	20	Legnickie	Legnickie	0,0
M16	21	Leszczyńskie	Leszczyńskie	0,0
M16	22	Lubelskie	Lubelskie	0,0
M16	23	Łomżyńskie	Łomżyńskie	0,0
M16	24	Łódzkie	Łódzkie	0,0
M16	25	Nowosądeckie	Nowosądeckie	0,0
M16	26	Olsztyńskie	Olsztyńskie	0,0
M16	27	Opolskie	Opolskie	0,0
M16	28	Ostrołęckie	Ostrołęckie	0,0
M16	29	Pilskie	Pilskie	0,0
M16	30	Piotrkowskie	Piotrkowskie	0,0
M16	31	Płockie	Płockie	0,0
M16	32	Poznańskie	Poznańskie	0,0
M16	33	Przemyskie	Przemyskie	0,0
M16	34	Radomskie	Radomskie	0,0
M16	35	Rzeszowskie	Rzeszowskie	0,0
M16	36	Siedleckie	Siedleckie	0,0
M16	37	Sieradzkie	Sieradzkie	0,0
M16	38	Skierniewickie	Skierniewickie	0,0
M16	39	Słupskie	Słupskie	0,0
M16	40	Suwalskie	Suwalskie	0,0
M16	41	Szczecińskie	Szczecińskie	0,0
M16	42	Tarnobrzeskie	Tarnobrzeskie	0,0
M16	43	Tarnowskie	Tarnowskie	0,0
M16	44	Toruńskie	Toruńskie	0,0
M16	45	Wałbrzyskie	Wałbrzyskie	0,0
M16	46	Włocławskie	Włocławskie	0,0
M16	47	Wrocławskie	Wrocławskie	0,0
M16	48	Zamojskie	Zamojskie	0,0
M16	49	Zielonogórskie	Zielonogórskie	0,0
WOJEW16	1	Dolnośląskie	Dolnośląskie	0,0
WOJEW16	2	Kujawsko-pomorskie	Kujawsko-pomorskie	0,0
WOJEW16	3	Lubelskie	Lubelskie	0,0
WOJEW16	4	Lubuskie	Lubuskie	0,0
WOJEW16	5	Łódzkie	Łódzkie	0,0
WOJEW16	6	Małopolskie	Małopolskie	0,0
WOJEW16	7	Mazowieckie	Mazowieckie	0,0
WOJEW16	8	Opolskie	Opolskie	0,0
WOJEW16	9	Podkarpackie	Podkarpackie	0,0
WOJEW16	10	Podlaskie	Podlaskie	0,0
WOJEW16	11	Pomorskie	Pomorskie	0,0
WOJEW16	12	Śląskie	Śląskie	0,0
WOJEW16	13	Świętokrzyskie	Świętokrzyskie	0,0
WOJEW16	14	Warmińsko-mazurskie	Warmińsko-mazurskie	0,0
WOJEW16	15	Wielkopolskie	Wielkopolskie	0,0
WOJEW16	16	Zachodniopomorskie	Zachodniopomorskie	0,0
GUS_MAKRO	1	Południowy	Południowy	0,0
GUS_MAKRO	2	Pólnocno-zachodni	Pólnocno-zachodni	0,0
GUS_MAKRO	3	Południowo-zachodni	Południowo-zachodni	0,0
GUS_MAKRO	4	Północny	Północny	0,0
GUS_MAKRO	5	Centralny	Centralny	0,0
GUS_MAKRO	6	Wschodni	Wschodni	0,0
GUS_MAKRO	7	Woj. Mazowieckie	Woj. Mazowieckie	0,0
GUS_REGIO	1	Małopolskie	Małopolskie	0,0
GUS_REGIO	2	Śląskie	Śląskie	0,0
GUS_REGIO	3	Wielkopolskie	Wielkopolskie	0,0
GUS_REGIO	4	Zachodniopomorskie	Zachodniopomorskie	0,0
GUS_REGIO	5	Lubuskie	Lubuskie	0,0
GUS_REGIO	6	Dolnośląskie	Dolnośląskie	0,0
GUS_REGIO	7	Opolskie	Opolskie	0,0
GUS_REGIO	8	Kujawsko-pomorskie	Kujawsko-pomorskie	0,0
GUS_REGIO	9	Warmińsko-mazurskie	Warmińsko-mazurskie	0,0
GUS_REGIO	10	Pomorskie	Pomorskie	0,0
GUS_REGIO	11	Łódzkie	Łódzkie	0,0
GUS_REGIO	12	Świętokrzyskie	Świętokrzyskie	0,0
GUS_REGIO	13	Lubelskie	Lubelskie	0,0
GUS_REGIO	14	Podkarpackie	Podkarpackie	0,0
GUS_REGIO	15	Podlaskie	Podlaskie	0,0
GUS_REGIO	16	Mazowiecki regionalny	Mazowiecki regionalny	0,0
GUS_REGIO	17	Warszawski stołeczny	Warszawski stołeczny	0,0
REGION17	1	Białostocki	Białostocki	0,0
REGION17	2	Bydgoski	Bydgoski	0,0
REGION17	3	Gdański	Gdański	0,0
REGION17	4	Katowicki	Katowicki	0,0
REGION17	5	Kielecki	Kielecki	0,0
REGION17	6	Koszaliński	Koszaliński	0,0
REGION17	7	Krakowski	Krakowski	0,0
REGION17	8	Lubelski	Lubelski	0,0
REGION17	9	Łódzki	Łódzki	0,0
REGION17	10	Olsztyński	Olsztyński	0,0
REGION17	11	Opolski	Opolski	0,0
REGION17	12	Poznański	Poznański	0,0
REGION17	13	Rzeszowski	Rzeszowski	0,0
REGION17	14	Szczeciński	Szczeciński	0,0
REGION17	15	Warszawski	Warszawski	0,0
REGION17	16	Wrocławski	Wrocławski	0,0
REGION17	17	Zielonogórski	Zielonogórski	0,0
MAKROGUS	1	Centralny	Centralny	0,0
MAKROGUS	2	Wielkopolski	Wielkopolski	0,0
MAKROGUS	3	Śląski	Śląski	0,0
MAKROGUS	4	Zachodni	Zachodni	0,0
MAKROGUS	5	Pomorski	Pomorski	0,0
MAKROGUS	6	Północno-wschodni	Północno-wschodni	0,0
MAKROGUS	7	Wschodni	Wschodni	0,0
MAKROGUS	8	Małopolski	Małopolski	0,0
REGION7	1	Polska centralna	Polska centralna	0,0
REGION7	2	Polska wschodnia	Polska wschodnia	0,0
REGION7	3	Polska płd-wschodnia	Polska płd-wschodnia	0,0
REGION7	4	Polska południowa	Polska południowa	0,0
REGION7	5	Polska płd-zachodnia	Polska płd-zachodnia	0,0
REGION7	6	Polska zachodnia	Polska zachodnia	0,0
REGION7	7	Polska północna	Polska północna	0,0
M17	1	Wieś	Wieś	0,0
M17	2	Miasto do 10 tys.	Miasto do 10 tys.	0,0
M17	3	Miasto od 10 do 19 tys.	Miasto od 10 do 19 tys.	0,0
M17	4	Miasto od 20 do 49 tys.	Miasto od 20 do 49 tys.	0,0
M17	5	Miasto od 50 do 99 tys.	Miasto od 50 do 99 tys.	0,0
M17	6	Miasto od 100 do 199 tys.	Miasto od 100 do 199 tys.	0,0
M17	7	Miasto od 200 do 499 tys.	Miasto od 200 do 499 tys.	0,0
M17	8	Miasto ponad 500 tys.	Miasto ponad 500 tys.	0,0
PLEC	1	Mężczyzna	Mężczyzna	0,0
PLEC	2	Kobieta	Kobieta	0,0
WIEK	15	15 lat	15 lat	0,0
WIEK	16	16 lat	16 lat	0,0
WIEK	17	17 lat	17 lat	0,0
WIEK	18	18 lat	18 lat	0,0
WIEK	19	19 lat	19 lat	0,0
WIEK	20	20 lat	20 lat	0,0
WIEK	21	21 lat	21 lat	0,0
WIEK	22	22 lata	22 lata	0,0
WIEK	23	23 lata	23 lata	0,0
WIEK	24	24 lata	24 lata	0,0
WIEK	25	25 lat	25 lat	0,0
WIEK	26	26 lat	26 lat	0,0
WIEK	27	27 lat	27 lat	0,0
WIEK	28	28 lat	28 lat	0,0
WIEK	29	29 lat	29 lat	0,0
WIEK	30	30 lat	30 lat	0,0
WIEK	31	31 lat	31 lat	0,0
WIEK	32	32 lata	32 lata	0,0
WIEK	33	33 lata	33 lata	0,0
WIEK	34	34 lata	34 lata	0,0
WIEK	35	35 lat	35 lat	0,0
WIEK	36	36 lat	36 lat	0,0
WIEK	37	37 lat	37 lat	0,0
WIEK	38	38 lat	38 lat	0,0
WIEK	39	39 lat	39 lat	0,0
WIEK	40	40 lat	40 lat	0,0
WIEK	41	41 lat	41 lat	0,0
WIEK	42	42 lata	42 lata	0,0
WIEK	43	43 lata	43 lata	0,0
WIEK	44	44 lata	44 lata	0,0
WIEK	45	45 lat	45 lat	0,0
WIEK	46	46 lat	46 lat	0,0
WIEK	47	47 lat	47 lat	0,0
WIEK	48	48 lat	48 lat	0,0
WIEK	49	49 lat	49 lat	0,0
WIEK	50	50 lat	50 lat	0,0
WIEK	51	51 lat	51 lat	0,0
WIEK	52	52 lata	52 lata	0,0
WIEK	53	53 lata	53 lata	0,0
WIEK	54	54 lata	54 lata	0,0
WIEK	55	55 lat	55 lat	0,0
WIEK	56	56 lat	56 lat	0,0
WIEK	57	57 lat	57 lat	0,0
WIEK	58	58 lat	58 lat	0,0
WIEK	59	59 lat	59 lat	0,0
WIEK	60	60 lat	60 lat	0,0
WIEK	61	61 lat	61 lat	0,0
WIEK	62	62 lata	62 lata	0,0
WIEK	63	63 lata	63 lata	0,0
WIEK	64	64 lata	64 lata	0,0
WIEK	65	65 lat	65 lat	0,0
WIEK	66	66 lat	66 lat	0,0
WIEK	67	67 lat	67 lat	0,0
WIEK	68	68 lat	68 lat	0,0
WIEK	69	69 lat	69 lat	0,0
WIEK	70	70 lat	70 lat	0,0
WIEK	71	71 lat	71 lat	0,0
WIEK	72	72 lata	72 lata	0,0
WIEK	73	73 lata	73 lata	0,0
WIEK	74	74 lata	74 lata	0,0
WIEK	75	75 lat	75 lat	0,0
WIEKCO5	1	15-19 lat	15-19 lat	0,0
WIEKCO5	2	20-24 lata	20-24 lata	0,0
WIEKCO5	3	25-29 lat	25-29 lat	0,0
WIEKCO5	4	30-34 lata	30-34 lata	0,0
WIEKCO5	5	35-39 lat	35-39 lat	0,0
WIEKCO5	6	40-44 lata	40-44 lata	0,0
WIEKCO5	7	45-49 lat	45-49 lat	0,0
WIEKCO5	8	50-54 lata	50-54 lata	0,0
WIEKCO5	9	55-59 lat	55-59 lat	0,0
WIEKCO5	10	60-64 lata	60-64 lata	0,0
WIEKCO5	11	65-69 lat	65-69 lat	0,0
WIEKCO5	12	70 lub więcej lat	70 lub więcej lat	0,0
AGE	1	15-24 lata	15-24 lata	0,0
AGE	2	25-34 lata	25-34 lata	0,0
AGE	3	35-44 lata	35-44 lata	0,0
AGE	4	45-54 lata	45-54 lata	0,0
AGE	5	55 lub więcej lat	55 lub więcej lat	0,0
PLECWIEK	1	Mężczyzna, 15-24 lata	Mężczyzna, 15-24 lata	0,0
PLECWIEK	2	Mężczyzna, 25-39 lat	Mężczyzna, 25-39 lat	0,0
PLECWIEK	3	Mężczyzna, 40-59 lat	Mężczyzna, 40-59 lat	0,0
PLECWIEK	4	Mężczyzna, 60-więcej	Mężczyzna, 60-więcej	0,0
PLECWIEK	5	Kobieta, 15-24 lata	Kobieta, 15-24 lata	0,0
PLECWIEK	6	Kobieta, 25-39 lat	Kobieta, 25-39 lat	0,0
PLECWIEK	7	Kobieta, 40-59 lat	Kobieta, 40-59 lat	0,0
PLECWIEK	8	Kobieta, 60-więcej	Kobieta, 60-więcej	0,0
STANCYW	1	Kawaler/panna	Kawaler/panna	0,0
STANCYW	2	Z partnerem	Z partnerem	0,0
STANCYW	3	Żonaty/zamężna	Żonaty/zamężna	0,0
STANCYW	4	Rozwiedziony(a)/w separacji	Rozwiedziony(a)/w separacji	0,0
STANCYW	5	Wdowiec/wdowa	Wdowiec/wdowa	0,0
EDUK12	1	Niepełne podstawowe	Niepełne podstawowe	0,0
EDUK12	2	Podstawowe	Podstawowe	0,0
EDUK12	3	Gimnazjum	Gimnazjum	0,0
EDUK12	4	Zasadnicze zawodowe	Zasadnicze zawodowe	0,0
EDUK12	5	Niepełne średnie	Niepełne średnie	0,0
EDUK12	6	Średnie zawodowe	Średnie zawodowe	0,0
EDUK12	7	Średnie ogólne	Średnie ogólne	0,0
EDUK12	8	Pomaturalne	Pomaturalne	0,0
EDUK12	9	Niepełne wyższe	Niepełne wyższe	0,0
EDUK12	10	Licencjat	Licencjat	0,0
EDUK12	11	Wyższe magisterskie	Wyższe magisterskie	0,0
EDUK12	12	Studia podyplomowe, doktorat	Studia podyplomowe, doktorat	0,0
EDUK12	97	Trudno powiedzieć	Trudno powiedzieć	0,0
EDUK13	1	Niepełne podstawowe	Niepełne podstawowe	0,0
EDUK13	2	Podstawowe	Podstawowe	0,0
EDUK13	3	Gimnazjum	Gimnazjum	0,0
EDUK13	4	Zasadnicze zawodowe	Zasadnicze zawodowe	0,0
EDUK13	5	Niepełne średnie	Niepełne średnie	0,0
EDUK13	6	Ukończone średnie zawodowe	Ukończone średnie zawodowe	0,0
EDUK13	7	Ukończone średnie ogólnokształcące	Ukończone średnie ogólnokształcące	0,0
EDUK13	8	Pomaturalne, policealne	Pomaturalne, policealne	0,0
EDUK13	9	Niepełne wyższe	Niepełne wyższe	0,0
EDUK13	10	Licencjat, inżynierskie	Licencjat, inżynierskie	0,0
EDUK13	11	Wyższe magisterskie	Wyższe magisterskie	0,0
EDUK13	12	Studia podyplomowe, mba, doktoranckie	Studia podyplomowe, mba, doktoranckie	0,0
EDUK13	13	Doktorat lub wyższy stopień naukowy	Doktorat lub wyższy stopień naukowy	0,0
EDUK13	14	Trudno powiedzieć	Trudno powiedzieć	0,0
EDUK	1	Niepełne podstawowe	Niepełne podstawowe	0,0
EDUK	2	Podstawowe	Podstawowe	0,0
EDUK	3	Zasadnicze zawodowe	Zasadnicze zawodowe	0,0
EDUK	4	Niepełne średnie	Niepełne średnie	0,0
EDUK	5	Średnie zawodowe	Średnie zawodowe	0,0
EDUK	6	Średnie ogólne	Średnie ogólne	0,0
EDUK	7	Pomaturalne	Pomaturalne	0,0
EDUK	8	Niepełne wyższe	Niepełne wyższe	0,0
EDUK	9	Wyższe	Wyższe	0,0
EDUK	97	Trudno powiedzieć	Trudno powiedzieć	0,0
EDUK4	1	Podstawowe	Podstawowe	0,0
EDUK4	2	Zasadnicze zawodowe	Zasadnicze zawodowe	0,0
EDUK4	3	Średnie	Średnie	0,0
EDUK4	4	Ponadśrednie	Ponadśrednie	0,0
EDUK4	8	Brak odpowiedzi	Brak odpowiedzi	0,0
UCZYSIE	1	Tak	Tak	0,0
UCZYSIE	0	Nie	Nie	0,0
UCZYSIE	99	Nie dotyczy	Nie dotyczy	0,0
SZKOLA	1	W szkole podstawowej, gimnazjalnej	W szkole podstawowej, gimnazjalnej	0,0
SZKOLA	2	W zasadniczej szkole zawodowej	W zasadniczej szkole zawodowej	0,0
SZKOLA	3	W średniej ogólnokształcącej lub zawodowej	W średniej ogólnokształcącej lub zawodowej	0,0
SZKOLA	4	W szkole pomaturalnej, policealnej	W szkole pomaturalnej, policealnej	0,0
SZKOLA	5	Na uczelni wyższej	Na uczelni wyższej	0,0
SZKOLA	6	Na studiach podyplomowych, mba, doktoranckich	Na studiach podyplomowych, mba, doktoranckich	0,0
SZKOLA	7	Inne	Inne	0,0
SZKOLA	9	Nie dotyczy	Nie dotyczy	0,0
EDUKM14R	1	Podstawowe	Podstawowe	0,0
